Open,Close,High,Low,Volume,VWAP,Timestamp,Transactions
101217.78,102145.43,109590,99416.27,41376.56986812438,104763.5306,2025-01-19T19:00:00,1519789
102142.1,106159.26,107360,100051,23287.178917694207,104736.3935,2025-01-20T19:00:00,1056421
106162.8,103667.11,106431.34,103100,12633.461130559328,104636.0122,2025-01-21T19:00:00,754260
103202.35,103973.87,107000,101200.01,36524.70614164,104181.8378,2025-01-22T19:00:00,1285535
103920.2,104850.27,107200,102700,15234.929520695625,105427.0715,2025-01-23T19:00:00,777214
104840.4,104733.56,105294,104100,4180.3313557907795,104686.0128,2025-01-24T19:00:00,384024
104705.3,102563,105478.8,102452.24,5848.836820460883,104066.8864,2025-01-25T19:00:00,479692
102565.28,102062.42,103300,97688.7,28684.121990921118,100419.6893,2025-01-26T19:00:00,1254382
102133.3,101299.8,103850,100200,11696.64776047528,102291.9865,2025-01-27T19:00:00,727597
101774.62,103737.04,104829.64,101356.1,15331.76315168,102955.1582,2025-01-28T19:00:00,710165
103708.1,104742.64,106520,103252.5,15357.866388636676,105279.0392,2025-01-29T19:00:00,683465
104742.63,102411.26,106090,101500,15465.923377738334,103699.9561,2025-01-30T19:00:00,730960
102406,100623.85,102790,100147,4839.742174071411,101719.6208,2025-01-31T19:00:00,531253
100690,97676.52,101460,96100,15319.464714296491,98420.002,2025-02-01T19:00:00,1005844
97696,101416.34,102599.85,91000,49133.09373448,96537.1967,2025-02-02T19:00:00,1755176
101460.15,97795.05,101812.23,96127,18233.379262074453,99019.9718,2025-02-03T19:00:00,834134
97795.06,96638.33,99230.49,96161.01,10627.684578734792,97650.215,2025-02-04T19:00:00,613232
96613.4,96585.99,99222,95664.6,15176.84763438,97243.9847,2025-02-05T19:00:00,685829
96558.5,96537.08,100235.79,95614.96,14747.801451343417,97544.0169,2025-02-06T19:00:00,708772
96536.93,96496.5,96919.05,95656.9,3640.139386160271,96395.4113,2025-02-07T19:00:00,397835
96496.5,96493.39,97366,94726,7010.79484298,96087.6707,2025-02-08T19:00:00,494125
96473,97472,98468,95194.7,9733.43335192,97245.8568,2025-02-09T19:00:00,531749
97441.2,95774.08,98645,94831.07,10167.62024569437,96445.5203,2025-02-10T19:00:00,548085
95767.1,97862.53,98200,94066.92,12141.03258315603,96316.0224,2025-02-11T19:00:00,555011
97874,96625.29,98166,95220,8808.844366898238,96283.4989,2025-02-12T19:00:00,517117
96628,97509.03,98890.11,96268.56,9892.957746434973,97511.6178,2025-02-13T19:00:00,516902
97464,97596.94,97997.85,97225.01,2047.0435797601256,97600.9338,2025-02-14T19:00:00,350040
97588.2,96257,97738.22,96057.68,2715.174760953101,96913.1943,2025-02-15T19:00:00,353254
96144.1,95781.8,97163,95200,5190.55508051937,95971.3747,2025-02-16T19:00:00,395059
95772.8,95607.4,96923,93333,12084.381233814322,94839.5607,2025-02-17T19:00:00,604784
95600,96632.03,97056,94996.8,8795.184295502238,96039.1424,2025-02-18T19:00:00,444565
96632.03,98347.2,98862,96405.7,12058.825264975687,97673.9249,2025-02-19T19:00:00,568169
98347.2,96157.03,99574,94721.92,22158.408055223048,97105.2479,2025-02-20T19:00:00,805930
96099.5,96582.12,97143,95767.95,7982.224759819796,96470.764,2025-02-21T19:00:00,338218
96600.1,96303.4,96767,95243.91,4328.53207244962,96150.0747,2025-02-22T19:00:00,286765
96303.4,91510.82,96659,91300,16322.816662273854,94173.703,2025-02-23T19:00:00,654904
91509.88,88583.74,92833,85836.18,41774.612089547634,88541.9793,2025-02-24T19:00:00,1488286
88583.17,84111.78,89623,80525,31312.753964368785,85708.6676,2025-02-25T19:00:00,1133928
84089.9,85007,87320,82554.11,21525.146429446282,84828.1336,2025-02-26T19:00:00,835812
84668.4,84297.73,85330,78167.81,39315.39224549108,81654.7434,2025-02-27T19:00:00,1387121
84309.2,86018.76,86819,83772.54,9483.167358992197,85171.9071,2025-02-28T19:00:00,480069
86020.8,94265.48,95321,84500.1,24083.551182444568,90607.8617,2025-03-01T19:00:00,840984
94265.47,86161.1,94633,85007.01,29529.830316002295,89610.8205,2025-03-02T19:00:00,1076604
86144.7,87250,89168,81434.5,30109.867577522098,84751.7365,2025-03-03T19:00:00,1022823
87250,90603.73,91262,86329.22,19533.194312600823,89058.4809,2025-03-04T19:00:00,788582
90610.4,89921.85,92997,87790.5,16844.89871932009,90116.3573,2025-03-05T19:00:00,789021
89925.3,86756.98,91454,84608.27,33084.234990550984,87913.8854,2025-03-06T19:00:00,1048066
86762.3,86206.69,87140,85200,4705.676339960525,86168.4512,2025-03-07T19:00:00,328333
86164.1,80952,86823,80000,11163.45971722182,82797.4593,2025-03-08T19:00:00,549497
80708.21,78558.8,84245,77389,27148.7636943381,80150.4,2025-03-09T20:00:00,1041664
78558.9,82914.51,83820,76555,22831.749789708134,80673.3788,2025-03-10T20:00:00,912432
82900,83659.43,84630,80572.21,16241.983702473553,82513.6362,2025-03-11T20:00:00,742589
83659.45,81073.43,84494,79890,12923.944434313644,81761.6258,2025-03-12T20:00:00,595582
81112.3,84207,85487,80771.17,14087.557383420763,83741.4661,2025-03-13T20:00:00,534584
83997.7,84351.46,84911,83612.24,3214.6304629704055,84280.0932,2025-03-14T20:00:00,306369
84351.45,82562.57,85280,81969.44,5211.988198380981,83381.0849,2025-03-15T20:00:00,363584
82600,84011.4,84920,82416.98,9639.781044911759,83615.8456,2025-03-16T20:00:00,389852
84015.2,82698.76,84221,81125,10062.888107062385,82266.1326,2025-03-17T20:00:00,417453
82705.4,86877.96,87189,82535.53,16382.765361706706,84543.9603,2025-03-18T20:00:00,540855
87030,84183.42,87622,83596.75,12424.910870743975,85260.2375,2025-03-19T20:00:00,497810
84183.41,84061.96,84945,83100,7581.995538601589,83998.5136,2025-03-20T20:00:00,417701
84034.3,83800,84594,83659.69,2634.278738259736,84142.9882,2025-03-21T20:00:00,174401
83800,86092.94,86288,83799.9,4229.03650627041,84886.8189,2025-03-22T20:00:00,228932
86076.5,87523.62,88868,85533.06,15617.848069643971,87782.565,2025-03-23T20:00:00,520897
87511.9,87427.88,88651,86306.7,11981.309563373188,87629.2747,2025-03-24T20:00:00,410948
87432.82,86899,88460,85850,9432.048537932485,87134.8707,2025-03-25T20:00:00,404913
86899,87217.48,87934,85784,8122.249638922017,87036.4542,2025-03-26T20:00:00,381904
87209.9,84373.9,87578,83530.1,13027.441020453902,84839.621,2025-03-27T20:00:00,485023
84373.9,82613.8,84779,81608.99,4888.172354760677,82954.8133,2025-03-28T20:00:00,328248
82866,82379.98,83697,81538.88,4152.01394160017,82747.7186,2025-03-29T20:00:00,291349
82325.4,82534.32,83998,81265.16,9345.12986192132,82632.3517,2025-03-30T20:00:00,473988
82523,85170.37,85566.53,82403.32,11357.764515553576,84286.1218,2025-03-31T20:00:00,496446
85166.92,82490.08,89042.7,82141.5,20950.87652203718,85421.1468,2025-04-01T20:00:00,698121
82517,83174.33,83953.45,81177.7,14397.414528337335,82384.7264,2025-04-02T20:00:00,649530
83133,83860.16,84720.67,81634,17315.188506016537,83178.5675,2025-04-03T20:00:00,701415
83859.78,83498.25,84238.35,82346.61,3990.567933360333,83261.4646,2025-04-04T20:00:00,261498
83508.9,78370.75,83807,77057.7,16022.765274633408,79752.7141,2025-04-05T20:00:00,652162
78364.8,79140.01,81262,74409.1,34012.31331674034,77727.0204,2025-04-06T20:00:00,1402221
79130.1,76251.64,80901,76164.6,18116.38453018483,78226.6335,2025-04-07T20:00:00,838308
76276.5,82594.75,83583.35,74553.01,30651.74345719586,79098.8952,2025-04-08T20:00:00,1181665
82593.15,79552.34,82730.93,78387.24,14945.225329964955,80528.1477,2025-04-09T20:00:00,679740
79552.34,83380.47,84299,78888,13416.561091057429,82311.522,2025-04-10T20:00:00,580966
83372,85271.01,85909.97,82750,6082.553599749702,84454.133,2025-04-11T20:00:00,348902
85284.1,83733.07,86092.99,83000,5917.249499750369,84299.2629,2025-04-12T20:00:00,408158
83719.8,84590.36,85818.06,83655.27,9838.22155775107,84726.2294,2025-04-13T20:00:00,484610
84530.7,83629.78,86491.4,83592.77,8107.983859220538,85028.7524,2025-04-14T20:00:00,511136
83633.5,84028.72,85526.4,83088.02,10405.021097111508,84166.7776,2025-04-15T20:00:00,452471
84027.5,84961.97,85494.94,83650,7447.514199800526,84651.7218,2025-04-16T20:00:00,378597
84961.97,84472.5,85150.94,84200,2867.104279670271,84598.0877,2025-04-17T20:00:00,245118
84472.5,85074.99,85625,84311,2420.9558329401375,85098.4606,2025-04-18T20:00:00,248756
85121.3,85177.34,85319.21,83817,2606.604360139963,84772.0089,2025-04-19T20:00:00,244545
85177.33,87522.07,88630,84940,15412.08409155197,87447.7053,2025-04-20T20:00:00,593597
87473,93472,93952.62,87038,23462.955301077818,90731.5196,2025-04-21T20:00:00,1026081
93486.57,93740.92,94686,91902.19,15839.057292514297,93442.2106,2025-04-22T20:00:00,751957
93677,94021.96,94061.02,91685.18,10740.297438440697,93106.5362,2025-04-23T20:00:00,536543
94000,94717.1,95976.34,92880.01,17108.277321188893,94769.3695,2025-04-24T20:00:00,609433
94717.2,94666.64,95273.52,93903.01,3060.034692069708,94469.6941,2025-04-25T20:00:00,311539
94663.5,93817,95369,93621.5,3233.616196539744,94177.1755,2025-04-26T20:00:00,302776
93780.56,95042.57,95652.66,92829.44,9943.566306081064,94256.1634,2025-04-27T20:00:00,474559
95042.56,94271.09,95531,93761.26,8049.411865501323,94897.6537,2025-04-28T20:00:00,422626
94269.7,94182.54,95285,92911.88,8734.453615781365,94250.6283,2025-04-29T20:00:00,444789
94182.55,96524.98,97546.99,94136.79,10496.27289228443,96200.2541,2025-04-30T20:00:00,507146
96524.98,96929.81,97948.56,96369.69,7256.7808759602385,97153.101,2025-05-01T20:00:00,430132
96920.7,95861.33,96974.78,95765.13,3766.8486149803466,96293.2424,2025-05-02T20:00:00,265539
95869.9,94272.55,96439,94151.67,6520.619935419753,95480.6566,2025-05-03T20:00:00,301360
94303.1,94733.99,95407,93500.01,8648.029960890488,94360.6885,2025-05-04T20:00:00,374807
94733.99,96839.17,96999,93363.28,8001.925740560041,94675.8156,2025-05-05T20:00:00,353209
96843.84,97058.32,97840,95800,10147.081720794095,96823.5782,2025-05-06T20:00:00,420132
97031.4,103228,104190,96874.9,19616.474123734573,100560.82,2025-05-07T20:00:00,689710
103228,102976.9,104352.6,102330,9427.065589243335,103081.1572,2025-05-08T20:00:00,513793
102977,104821.19,104997,102800,4484.628648950571,103638.3198,2025-05-09T20:00:00,349146
