Open,Close,High,Low,Volume,VWAP,Timestamp,Transactions
42241.1,44220.78,44240.8,42175.65,11571.132272252362,43114.6615,2023-12-31T19:00:00,219298
44180.8,44972.8,45925.82,44113.2,39113.6281522264,45190.5321,2024-01-01T19:00:00,522828
44972.81,42862.44,45559,39501,43428.97340344553,43034.5792,2024-01-02T19:00:00,622288
42860.58,44193.29,44810,42650,23483.267113926853,43804.8366,2024-01-03T19:00:00,367559
44198.35,44186.59,44449,42413,23295.117121494848,43711.2836,2024-01-04T19:00:00,373665
44179.9,44018,44263,43436.5,7422.341112331489,43857.4888,2024-01-05T19:00:00,180768
43960,43959,44510.01,43627,8044.732283182773,44095.3438,2024-01-06T19:00:00,184630
43954.52,46995.1,47330,43200.44,37061.96436286115,45541.5938,2024-01-07T19:00:00,570177
46989.5,46124.08,47988,44500,38524.350057053976,46491.2035,2024-01-08T19:00:00,656435
46120.79,46666.11,47732.5,44268,49773.3582634139,45878.5148,2024-01-09T19:00:00,738646
46654,46350.4,49102.29,45555.55,50944.64533833511,46947.4415,2024-01-10T19:00:00,762583
46350.4,42773.03,46522.2,41444.97,59970.9527363467,44196.8707,2024-01-11T19:00:00,791172
42775.1,42839.33,43250,42427,13737.624864085004,42831.5723,2024-01-12T19:00:00,315568
42827.9,41697.33,43075,41680.73,11736.23537913369,42547.6023,2024-01-13T19:00:00,254369
41698.13,42520,43369,41680,14184.84569772358,42593.5944,2024-01-14T19:00:00,286077
42499.3,43130.45,43588,42028.02,21236.810862302398,42984.3473,2024-01-15T19:00:00,390408
43130.35,42739.49,43215,42160,19248.80836952228,42620.9692,2024-01-16T19:00:00,343705
42737.68,41293.5,42932,40600.05,29890.466539984263,41649.2286,2024-01-17T19:00:00,392081
41290.57,41624.07,42212,40236.49,27855.61115430643,41263.728,2024-01-18T19:00:00,384868
41623.94,41666.67,41944,40000,7096.28753251149,41601.0113,2024-01-19T19:00:00,189193
41666.67,41554.05,42260,41472.49,5268.617377100797,41698.6924,2024-01-20T19:00:00,149600
41670,39524.27,41775,39372.44,33767.231491860824,40405.9444,2024-01-21T19:00:00,440095
39510,39878.3,40215,38501,28114.91671063499,39263.6977,2024-01-22T19:00:00,422574
39878.28,40069.8,40599,39382.15,21769.698772998032,39871.7516,2024-01-23T19:00:00,332209
40079.87,39941.66,40333,39503,16735.523332165852,39893.3563,2024-01-24T19:00:00,254578
39941.66,41814.8,42243.14,39805.95,25444.491195520382,41317.6759,2024-01-25T19:00:00,353696
41814.96,42126.55,42204,41383.94,5516.929458381651,41812.7495,2024-01-26T19:00:00,162020
42126.55,42034.59,42839.07,41617.53,6906.719029741704,42272.2683,2024-01-27T19:00:00,171880
42025,43269.5,43333,41787.35,15637.156951694247,42722.6475,2024-01-28T19:00:00,257880
43272.7,42942.78,43872.99,42680.2,19919.379506534315,43450.3182,2024-01-29T19:00:00,287585
42955,42548.08,43742.3,42265.77,19446.882335773065,42982.206,2024-01-30T19:00:00,273550
42551.7,43075.2,43276.19,41846.04,15130.836461533445,42551.1031,2024-01-31T19:00:00,269772
43075.3,43181.66,43700,42527.58,15165.356765253753,43044.4664,2024-02-01T19:00:00,250322
43183.62,43010.67,43366,42863.58,3069.056594700402,43100.0274,2024-02-02T19:00:00,129634
43007.82,42568.55,43109,42228.01,3898.363555500461,42798.4293,2024-02-03T19:00:00,132617
42591.3,42657.67,43540,42235,11374.964509474737,42746.4013,2024-02-04T19:00:00,221152
42650,43095.79,43387,42516.07,9990.22960118174,43026.4095,2024-02-05T19:00:00,220996
43085,44343.61,44430,42760.44,17944.147697913057,43585.6018,2024-02-06T19:00:00,274996
44330,45329.6,45637.38,44323,24499.503102522547,45038.0821,2024-02-07T19:00:00,379837
45280,47160.41,48230.02,45246,30597.29528200841,47080.0096,2024-02-08T19:00:00,473764
47157.01,47767.06,48190,46889.53,8000.422264321736,47450.9327,2024-02-09T19:00:00,209765
47767.06,48316.3,48614,47580.9,8336.231897111864,48205.0681,2024-02-10T19:00:00,216643
48321.14,49941.81,50363.42,47642,28044.659629649363,49359.7281,2024-02-11T19:00:00,432269
49941.95,49725.36,50423.42,48240,26690.211311180094,49354.8674,2024-02-12T19:00:00,412197
49750.1,51858.59,52136.8,49253.92,28019.370171001457,51290.5939,2024-02-13T19:00:00,468121
51835.2,51934.29,52890,51280,25013.753372190306,52090.5666,2024-02-14T19:00:00,486510
51947.1,52162.64,52608.2,51580,17144.98668249129,52033.0719,2024-02-15T19:00:00,352064
52185.3,51700,52214.05,50130,8883.469746892166,51417.1217,2024-02-16T19:00:00,220798
51700.1,52153.63,52451,51165,6551.295609511554,51845.6793,2024-02-17T19:00:00,198699
52157.1,51787.05,52501.01,51648,8822.595329122643,52107.0578,2024-02-18T19:00:00,242415
51771.2,52167,53000,50584,23028.060137330795,51914.8171,2024-02-19T19:00:00,385344
52270.1,51851.67,52394.91,50439,18117.36174936655,51313.0563,2024-02-20T19:00:00,348111
51866.9,51258.7,52100,50890.2,16898.38186680822,51592.9672,2024-02-21T19:00:00,310033
51300.1,50737,51537,50227,14216.24826204933,51018.4403,2024-02-22T19:00:00,309611
50739.4,51570.65,51736,50576.55,5331.982110101079,51221.519,2024-02-23T19:00:00,180385
51554.5,51731,51967.82,51275.01,6111.003062901675,51665.9453,2024-02-24T19:00:00,180548
51733.8,54533.48,54980,50871,32020.825000955032,53278.0747,2024-02-25T19:00:00,493515
54525.4,57077.07,57646.81,54384,38515.80831857773,56550.4406,2024-02-26T19:00:00,675281
57077.08,62518.9,64100,56000.4,65601.92862209708,60481.3333,2024-02-27T19:00:00,1094096
62489.8,61180.9,63675.48,60108.8,47621.038243198884,62062.2587,2024-02-28T19:00:00,802983
61179.03,62436.72,63267.18,60500,30681.328374492583,61998.8151,2024-02-29T19:00:00,576226
62439.74,62045.78,62500,61584,10456.558672512736,62044.02,2024-03-01T19:00:00,328631
62045.78,63178.2,63260,61350,10579.410340873275,62356.8907,2024-03-02T19:00:00,314418
63155.74,68098,68602.98,62216,52133.16140926825,66096.6608,2024-03-03T19:00:00,907498
68356.7,63800.78,69324.58,59008,85476.96548048228,65017.2267,2024-03-04T19:00:00,1509516
63802.15,66122.28,67681,62783,44033.02548165077,66148.0187,2024-03-05T19:00:00,825631
66115.48,66938.21,68098.09,65595,27523.51610418382,67124.5179,2024-03-06T19:00:00,618867
66938.21,68289.16,70199,65200,42812.29373757517,68180.5133,2024-03-07T19:00:00,778787
68289.16,68480,68700.41,67719,11795.36766444294,68362.3984,2024-03-08T19:00:00,344711
68480.01,68951,70000,68047,17430.37948084603,69326.6822,2024-03-09T19:00:00,475654
69032.8,72110.98,72943.98,67000,44952.35231810567,71382.5716,2024-03-10T20:00:00,864713
72100.1,71475.93,73027.63,68357,40257.052183758606,71228.0231,2024-03-11T20:00:00,918971
71473.43,73135.04,73709.99,70976,27339.186181919315,72806.5633,2024-03-12T20:00:00,636753
73135.04,71364.58,73835.57,68454.47,42665.71858346498,71219.9023,2024-03-13T20:00:00,984488
71364.58,69520,72500,65460,51116.259752913196,68391.4054,2024-03-14T20:00:00,1033965
69514.87,65254.22,70071,64774.05,22452.370880193022,67550.6352,2024-03-15T20:00:00,548172
65254.22,68343.64,68927,64505,18896.250819064913,66878.9888,2024-03-16T20:00:00,442839
68354.29,67613.04,68940,66562.65,25258.280699166615,67500.1474,2024-03-17T20:00:00,530243
67600,61906.27,68136.39,61506,53882.12499433056,64106.4215,2024-03-18T20:00:00,979567
62022,67858.8,68202,60771.14,49516.82253871595,64207.6968,2024-03-19T20:00:00,895549
67855.88,65484.7,68280,64525,24555.48664048687,66510.0482,2024-03-20T20:00:00,621560
65478.98,63814.56,66712,62201,23774.14154240207,64064.6907,2024-03-21T20:00:00,660792
63814.56,63998.86,66029.09,63013.19,10615.216697072612,64642.5069,2024-03-22T20:00:00,348768
63998.87,67204.93,67949,63785.57,10359.231325392617,65686.6948,2024-03-23T20:00:00,339237
67212.69,69890.28,71269.92,66381.84,31307.104575000012,69156.2184,2024-03-24T20:00:00,732703
69950.1,70000.1,71582.96,69116.8,20155.068485687792,70301.483,2024-03-25T20:00:00,569836
69994.9,69437.3,71789.85,68251,26781.64595618427,69637.5941,2024-03-26T20:00:00,622086
69437.2,70801.18,71635.99,68800,19933.541979907975,70693.0403,2024-03-27T20:00:00,558198
70786,69903.75,70941.7,69015,10710.140036532179,69943.4957,2024-03-28T20:00:00,372585
69903.74,69626.87,70363.25,69569.03,4242.4127139807215,69977.1798,2024-03-29T20:00:00,237286
69652,71288.9,71444,69587.86,6649.246520801482,70550.6183,2024-03-30T20:00:00,258897
71291.5,69681.1,71373,68055.15,18513.448805676693,69438.7465,2024-03-31T20:00:00,484820
69681.1,65464.14,69711,64192,30832.79852348744,66052.8769,2024-04-01T20:00:00,748173
65472,65987.92,66944.06,64500,17444.035729207495,66025.2967,2024-04-02T20:00:00,438158
65984.18,68527.4,69634,65048,23624.26045135535,67625.0333,2024-04-03T20:00:00,523749
68528.69,67856.51,68783.99,65959,20406.853908779965,67457.3015,2024-04-04T20:00:00,467893
67856.51,68919.89,69693.1,67379,6124.067240281255,68283.2003,2024-04-05T20:00:00,247970
68908.6,69350.34,70312,68820,7901.9930474127605,69486.092,2024-04-06T20:00:00,325177
69350.36,71622.53,72777,69036,23223.579051814715,71576.5348,2024-04-07T20:00:00,567352
71650.1,69117.01,71761.37,68200,21914.589601101146,69778.9649,2024-04-08T20:00:00,539778
69115.79,70634.04,71341,67463.07,21928.775432553433,69027.2689,2024-04-09T20:00:00,523393
70733,70046.4,71444,69530,14372.856794187008,70394.0358,2024-04-10T20:00:00,416029
70103,67148.61,71291,65103,32094.801286557326,68209.7878,2024-04-11T20:00:00,786351
67199.8,64024.77,69100,60495,37545.51982960271,64796.5735,2024-04-12T20:00:00,1041828
64018.6,65777.05,65909,62150,26538.987589805183,64133.239,2024-04-13T20:00:00,646041
65700,63452.18,66928.82,62315.08,27322.953087577836,64848.2963,2024-04-14T20:00:00,665228
63441.8,63814.94,64415,61551,22582.62085850296,62860.4936,2024-04-15T20:00:00,598486
63832.6,61279.36,64534,59648.33,27908.50173031259,61644.1743,2024-04-16T20:00:00,762399
61284.4,63513.85,64210,60816.07,19600.090229615384,62791.1291,2024-04-17T20:00:00,493620
63499.5,63848.37,65501,59573.32,29526.060603527425,63470.0901,2024-04-18T20:00:00,754969
63846,64968.87,65465,63121.15,8034.73000691246,64393.4803,2024-04-19T20:00:00,338677
64993.8,64952.92,65756,64250,6317.031909871909,64954.2161,2024-04-20T20:00:00,256373
64953,66859.17,68158,64520,14674.208393758543,66153.6475,2024-04-21T20:00:00,384705
66831.4,66414.16,67253,65807,11216.318416991891,66532.5241,2024-04-22T20:00:00,356444
66419.8,64255.78,67153,63542.56,18390.331962421373,65202.5357,2024-04-23T20:00:00,461978
64255.77,64484.44,65381,62743.5,16609.340525686952,64093.9909,2024-04-24T20:00:00,393349
64489.1,63742.39,64839,63287.76,12487.760915875097,64044.727,2024-04-25T20:00:00,329087
63750.8,63425,64029,62389,7688.4621976635235,63037.6848,2024-04-26T20:00:00,261235
63425.1,63108.94,64470,62743.81,5551.1416021712785,63609.2407,2024-04-27T20:00:00,221386
63114.1,63844.85,64304,61741.01,13377.822500071163,62745.9558,2024-04-28T20:00:00,352229
