Open,Close,High,Low,Volume,VWAP,Timestamp,Transactions
105637.7,106883.24,107355,104120,11210.729669265931,105970.9169,2025-05-19T20:00:00,550514
106883.24,109699.54,110788.98,106020,22528.758848529033,108001.4093,2025-05-20T20:00:00,889221
109697.19,111722.53,112000,109217.23,14162.445001847385,111095.3665,2025-05-21T20:00:00,740173
111722.54,107329.61,111824.07,106710,13113.430995281662,109341.4853,2025-05-22T20:00:00,639706
107332.08,107794.01,109517.79,106750,3988.5814197210075,108379.874,2025-05-23T20:00:00,342033
107824.2,109048.68,109371.04,106400,4045.0791460909004,107719.0501,2025-05-24T20:00:00,353138
109040.4,109464.32,110474.41,108550,6432.762292552141,109643.4947,2025-05-25T20:00:00,375126
109468.6,109004.9,110829.42,107510,10567.682576982736,109686.316,2025-05-26T20:00:00,545802
109004.9,107811.7,109344.89,106750,8164.911390364702,108042.5978,2025-05-27T20:00:00,506321
107811.7,105590,108943.35,105300,11474.00707616563,107041.4475,2025-05-28T20:00:00,577078
105632.5,104033.26,106377.66,103460,9702.36237411501,105004.991,2025-05-29T20:00:00,606796
104033,104645.87,104965.5,103110,3105.2949622298747,104118.2042,2025-05-30T20:00:00,333479
104662,105697.94,105937.46,103790,3084.4641209401175,104878.2411,2025-05-31T20:00:00,300325
105712.4,105904.94,106000,103670,7103.368736124371,104760.7726,2025-06-01T20:00:00,422070
105920.4,105447.82,106901.68,104880,7583.404446373841,105966.4089,2025-06-02T20:00:00,432719
105446,104753.38,106058.47,104202,5334.201601821149,105115.2359,2025-06-03T20:00:00,368685
104745.4,101570.2,105999.68,100345.73,14274.949543486839,103096.4397,2025-06-04T20:00:00,709403
101579.7,104397.99,105439.01,101132.91,11108.668623174002,103897.2773,2025-06-05T20:00:00,550109
104376,105619.02,106000,103969.7,4739.740544059951,105189.3393,2025-06-06T20:00:00,316137
105619.02,105784.4,106550,105028.3,2672.435899080223,105894.125,2025-06-07T20:00:00,246201
105754.2,110301.15,110680,105368.27,8185.177546291206,108081.9097,2025-06-08T20:00:00,422302
110280,110300.24,110420.08,108310,6908.66231919124,109473.7374,2025-06-09T20:00:00,423719
110273.6,108669.37,110435.05,108010,5792.238320771733,109351.6652,2025-06-10T20:00:00,432936
108701.9,105700,108853.74,105700,7492.8931010729375,107337.4476,2025-06-11T20:00:00,512849
105760.1,106118.7,106250,102660,10185.707186185175,104672.8678,2025-06-12T20:00:00,644896
106122.3,105465.42,106264.36,104351.72,2989.010661029822,105098.8896,2025-06-13T20:00:00,306006
105465.42,105581.4,106260,104505.05,2407.187499500191,105368.4931,2025-06-14T20:00:00,346168
105581.5,106853.38,109030,104982.26,7450.235857560228,107459.6705,2025-06-15T20:00:00,463315
106800.1,104622.4,107792.9,103363.3,9802.496025523593,105129.8881,2025-06-16T20:00:00,562324
104622.5,104915.6,105660,103512.38,6779.621123841441,104557.9218,2025-06-17T20:00:00,488568
104891.9,104671.9,105340,103916.37,3858.5223997305793,104655.0931,2025-06-18T20:00:00,305591
104675.2,103317.8,106580,102357.25,6826.764616851534,104260.2841,2025-06-19T20:00:00,431684
103300,102160.03,104120,100919.19,4955.353099220571,102648.8633,2025-06-20T20:00:00,344407
102153,101200,103470,98200,16035.03500769,100425.9906,2025-06-21T20:00:00,688549
