Open,Close,High,Low,Volume,VWAP,Timestamp,Transactions
110280,110300.24,110420.08,108310,6908.66231919124,109473.7374,2025-06-09T20:00:00,423719
110273.6,108669.37,110435.05,108010,5792.238320771733,109351.6652,2025-06-10T20:00:00,432936
108701.9,105700,108853.74,105700,7492.8931010729375,107337.4476,2025-06-11T20:00:00,512849
105760.1,106118.7,106250,102660,10185.707186185175,104672.8678,2025-06-12T20:00:00,644896
106122.3,105465.42,106264.36,104351.72,2989.010661029822,105098.8896,2025-06-13T20:00:00,306006
105465.42,105581.4,106260,104505.05,2407.187499500191,105368.4931,2025-06-14T20:00:00,346168
105581.5,106853.38,109030,104982.26,7450.235857560228,107459.6705,2025-06-15T20:00:00,463315
